"country","year_month","transaction_type","total_orders","net_revenue"
"United Kingdom","2010-12","Sale",1291,498661.85
"Germany","2010-12","Sale",30,15241.14
"France","2010-12","Sale",21,9616.31
"EIRE","2010-12","Sale",15,8813.88
"Netherlands","2010-12","Sale",3,8784.48
"Japan","2010-12","Sale",3,7705.07
"Sweden","2010-12","Sale",2,3834.30
"Norway","2010-12","Sale",2,3787.12
"Portugal","2010-12","Sale",6,2439.97
"Spain","2010-12","Sale",4,1843.73
"Belgium","2010-12","Sale",5,1809.91
"Lithuania","2010-12","Sale",4,1661.06
"Cyprus","2010-12","Sale",1,1590.82
"Switzerland","2010-12","Sale",2,1304.92
"Denmark","2010-12","Sale",1,1281.50
"Australia","2010-12","Sale",3,1032.85
"Finland","2010-12","Sale",1,892.80
"Italy","2010-12","Sale",2,811.50
"Iceland","2010-12","Sale",1,711.79
"Channel Islands","2010-12","Sale",1,363.53
"Austria","2010-12","Sale",1,277.20
"Poland","2010-12","Sale",1,248.16
"Italy","2010-12","Return",1,-17.00
"Austria","2010-12","Return",1,-20.16
"Australia","2010-12","Return",1,-27.75
"France","2010-12","Return",3,-40.95
"Portugal","2010-12","Return",2,-59.85
"Israel","2010-12","Return",1,-227.44
"Germany","2010-12","Return",13,-678.30
"EIRE","2010-12","Return",4,-988.31
"Sweden","2010-12","Return",1,-1188.00
"United Kingdom","2010-12","Return",281,-14862.11
"United Kingdom","2011-01","Sale",874,442190.06
"Netherlands","2011-01","Sale",5,26611.16
"EIRE","2011-01","Sale",7,21904.19
"France","2011-01","Sale",29,17740.12
"Germany","2011-01","Sale",31,16910.84
"Spain","2011-01","Sale",8,10086.09
"Australia","2011-01","Sale",9,9017.71
"Switzerland","2011-01","Sale",3,4231.23
"Portugal","2011-01","Sale",4,4055.71
"Sweden","2011-01","Sale",2,3486.32
"Greece","2011-01","Sale",1,2661.24
"Italy","2011-01","Sale",3,2402.51
"Singapore","2011-01","Sale",1,2053.07
